citizen,agedef,age,unit,sex,geo\time	2016 	2015 	2014 	2013 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,T,BE	: 	: 	: 	233 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,T,BG	: 	65 	: 	86 p
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,T,EL	: 	: 	: 	21 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,T,ES	: 	: 	: 	54 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,T,FI	: 	: 	: 	35 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,T,IE	: 	: 	: 	17 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,T,IS	: 	: 	: 	5 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,T,IT	: 	: 	: 	444 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,T,LT	: 	1 	: 	0 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,T,LU	: 	: 	: 	24 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,T,NO	: 	: 	: 	32 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,T,RO	197 	149 	84 	86 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,T,SE	: 	: 	: 	275 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,T,SI	156 	134 	135 	161 
CC5_13_FOR_X_IS,COMPLET,Y15-19,NR,T,UK	: 	: 	: 	149 
CC5_13_FOR_X_IS,COMPLET,Y15-64,NR,F,AT	3573 	3505 	3046 	3202 
CC5_13_FOR_X_IS,COMPLET,Y15-64,NR,F,BE	: 	: 	: 	1309 
CC5_13_FOR_X_IS,COMPLET,Y15-64,NR,F,EL	: 	: 	: 	160 
CC5_13_FOR_X_IS,COMPLET,Y15-64,NR,F,RO	: 	356 	408 	437 
CC5_13_FOR_X_IS,COMPLET,Y15-64,NR,F,SI	730 	661 	702 	761 
CC5_13_FOR_X_IS,COMPLET,Y15-64,NR,F,UK	: 	: 	: 	2379 
CC5_13_FOR_X_IS,COMPLET,Y15-64,NR,M,AT	4078 	4246 	3816 	3888 
CC5_13_FOR_X_IS,COMPLET,Y15-64,NR,M,BE	: 	: 	: 	1356 
CC5_13_FOR_X_IS,COMPLET,Y15-64,NR,M,EL	: 	: 	: 	160 
CC5_13_FOR_X_IS,COMPLET,Y15-64,NR,M,RO	: 	682 	983 	1078 
CC5_13_FOR_X_IS,COMPLET,Y15-64,NR,M,SI	1518 	1147 	1129 	1258 
CC5_13_FOR_X_IS,COMPLET,Y15-64,NR,M,UK	: 	: 	: 	1710 
CC5_13_FOR_X_IS,COMPLET,Y15-64,NR,T,AT	7651 	7751 	6862 	7090 
CC5_13_FOR_X_IS,COMPLET,Y15-64,NR,T,BE	: 	: 	: 	2665 
CC5_13_FOR_X_IS,COMPLET,Y15-64,NR,T,EL	: 	: 	: 	320 
