age,agedef,c_birth,unit,sex,geo\time	2016 	2015 	2014 	2013 
TOTAL,COMPLET,EFTA_FOR,NR,M,AT	419 	400 	354 	357 
TOTAL,COMPLET,EFTA_FOR,NR,M,BE	262 	252 	234 	261 
TOTAL,COMPLET,EFTA_FOR,NR,M,BG	9 	20 p	25 p	27 p
TOTAL,COMPLET,EFTA_FOR,NR,M,CH	203 	180 	168 	205 
TOTAL,COMPLET,EFTA_FOR,NR,M,CY	23 	15 	0 	0 
TOTAL,COMPLET,EFTA_FOR,NR,M,CZ	80 	40 	52 	39 
TOTAL,COMPLET,EFTA_FOR,NR,M,DE	2331 be	2410 	2252 	2248 
TOTAL,COMPLET,EFTA_FOR,NR,M,DK	1150 	1132 	1069 	942 
TOTAL,COMPLET,EFTA_FOR,NR,M,EE	53 	51 b	18 	20 
TOTAL,COMPLET,EFTA_FOR,NR,M,EL	54 b	52 	49 	45 
TOTAL,COMPLET,EFTA_FOR,NR,M,ES	1342 	1295 	1282 	1209 
TOTAL,COMPLET,EFTA_FOR,NR,M,FI	117 	114 	106 	98 
TOTAL,COMPLET,EFTA_FOR,NR,M,FR	2798 	2514 	2580 	3374 
TOTAL,COMPLET,EFTA_FOR,NR,M,HR	46 	58 	67.0 	51.0 
TOTAL,COMPLET,EFTA_FOR,NR,M,HU	142 	116 	150 	119 
TOTAL,COMPLET,EFTA_FOR,NR,M,IE	122 	117 	95 	99 
TOTAL,COMPLET,EFTA_FOR,NR,M,IS	69 	44 	49 	48 
TOTAL,COMPLET,EFTA_FOR,NR,M,IT	571 	466 	441 	531 
TOTAL,COMPLET,EFTA_FOR,NR,M,LI	107 	82 	103 	105 
TOTAL,COMPLET,EFTA_FOR,NR,M,LT	65 	99 	78 	51 
TOTAL,COMPLET,EFTA_FOR,NR,M,LU	81 	72 	84 	72 
TOTAL,COMPLET,EFTA_FOR,NR,M,LV	35 	43 	41 	62 
TOTAL,COMPLET,EFTA_FOR,NR,M,MT	70 	64 	66 	64 
TOTAL,COMPLET,EFTA_FOR,NR,M,NL	559 	456 	428 	378 
TOTAL,COMPLET,EFTA_FOR,NR,M,NO	269 	445 	583 	507 
TOTAL,COMPLET,EFTA_FOR,NR,M,PL	746 ep	543 p	684 p	578 
TOTAL,COMPLET,EFTA_FOR,NR,M,PT	61 e	43 	10 	1 
TOTAL,COMPLET,EFTA_FOR,NR,M,RO	70 	64 	24 	19 
TOTAL,COMPLET,EFTA_FOR,NR,M,SE	1515 	1501 	1419 	1339 
TOTAL,COMPLET,EFTA_FOR,NR,M,SI	23 	27 	29 	27 
TOTAL,COMPLET,EFTA_FOR,NR,M,SK	81 p	75 p	73 p	49 p
TOTAL,COMPLET,EFTA_FOR,NR,M,UK	2579 	4958 	2169 	2104 
TOTAL,COMPLET,EFTA_FOR,NR,T,AT	811 	777 	731 	710 
TOTAL,COMPLET,EFTA_FOR,NR,T,BE	484 	502 	483 	533 
TOTAL,COMPLET,EFTA_FOR,NR,T,BG	10 	32 p	38 p	36 p
TOTAL,COMPLET,EFTA_FOR,NR,T,CH	363 	388 	344 	426 
TOTAL,COMPLET,EFTA_FOR,NR,T,CY	33 	15 	0 	0 
TOTAL,COMPLET,EFTA_FOR,NR,T,CZ	134 	60 	66 	51 
TOTAL,COMPLET,EFTA_FOR,NR,T,DE	4581 be	4589 	4300 	4394 
TOTAL,COMPLET,EFTA_FOR,NR,T,DK	2620 	2465 	2514 	2141 
TOTAL,COMPLET,EFTA_FOR,NR,T,EE	91 	85 b	33 	37 
TOTAL,COMPLET,EFTA_FOR,NR,T,EL	121 b	118 	107 	101 
TOTAL,COMPLET,EFTA_FOR,NR,T,ES	2648 	2450 	2533 	2351 
TOTAL,COMPLET,EFTA_FOR,NR,T,FI	203 	179 	178 	170 
TOTAL,COMPLET,EFTA_FOR,NR,T,FR	5773 	5282 	5623 	6823 
TOTAL,COMPLET,EFTA_FOR,NR,T,HR	89 	110 	123.0 	95.0 
TOTAL,COMPLET,EFTA_FOR,NR,T,HU	291 	262 	348 	258 
TOTAL,COMPLET,EFTA_FOR,NR,T,IE	273 	227 	224 	178 
TOTAL,COMPLET,EFTA_FOR,NR,T,IS	135 	92 	102 	88 
TOTAL,COMPLET,EFTA_FOR,NR,T,IT	1198 	940 	988 	1145 
TOTAL,COMPLET,EFTA_FOR,NR,T,LI	202 	193 	193 	195 
TOTAL,COMPLET,EFTA_FOR,NR,T,LT	114 	172 	141 	100 
TOTAL,COMPLET,EFTA_FOR,NR,T,LU	141 	141 	154 	142 
TOTAL,COMPLET,EFTA_FOR,NR,T,LV	59 	64 	80 	126 
TOTAL,COMPLET,EFTA_FOR,NR,T,MT	117 	105 	96 	102 
TOTAL,COMPLET,EFTA_FOR,NR,T,NL	1072 	878 	854 	799 
TOTAL,COMPLET,EFTA_FOR,NR,T,NO	515 	865 	1115 	951 
TOTAL,COMPLET,EFTA_FOR,NR,T,PL	1336 ep	973 p	1085 p	962 
TOTAL,COMPLET,EFTA_FOR,NR,T,PT	184 e	139 	25 	3 
TOTAL,COMPLET,EFTA_FOR,NR,T,RO	96 	92 	36 	30 
TOTAL,COMPLET,EFTA_FOR,NR,T,SE	3042 	3060 	2858 	2724 
TOTAL,COMPLET,EFTA_FOR,NR,T,SI	40 	39 	47 	39 
TOTAL,COMPLET,EFTA_FOR,NR,T,SK	173 p	147 p	156 p	106 p
TOTAL,COMPLET,EFTA_FOR,NR,T,UK	4527 	9347 	4163 	4082 
TOTAL,COMPLET,EU28_FOR,NR,F,AT	28735 	30772 	30272 	27203 
TOTAL,COMPLET,EU28_FOR,NR,F,BE	24160 	26359 	27589 	27835 
TOTAL,COMPLET,EU28_FOR,NR,F,BG	669 	718 p	653 p	589 p
TOTAL,COMPLET,EU28_FOR,NR,F,CH	35000 	36649 	38702 	39805 
TOTAL,COMPLET,EU28_FOR,NR,F,CY	2754 	2928 	1953 	2588 
TOTAL,COMPLET,EU28_FOR,NR,F,CZ	9213 	4544 	4644 	4535 
TOTAL,COMPLET,EU28_FOR,NR,F,DE	157596 be	181609 	163296 	139137 
TOTAL,COMPLET,EU28_FOR,NR,F,DK	10330 	10030 	9869 	9183 
TOTAL,COMPLET,EU28_FOR,NR,F,EE	1431 	1369 b	153 	161 
TOTAL,COMPLET,EU28_FOR,NR,F,EL	10285 b	10286 	9884 	9369 
TOTAL,COMPLET,EU28_FOR,NR,F,ES	49849 	46857 	45128 	41803 
TOTAL,COMPLET,EU28_FOR,NR,F,FI	2731 	3063 	4122 	4578 
TOTAL,COMPLET,EU28_FOR,NR,F,FR	41532 	42697 	44710 	47439 
TOTAL,COMPLET,EU28_FOR,NR,F,HR	1046 	941 	1067.0 	889.0 
TOTAL,COMPLET,EU28_FOR,NR,F,HU	6360 	6479 	6866 	5748 
TOTAL,COMPLET,EU28_FOR,NR,F,IE	14073 	14609 	14170 	12497 
TOTAL,COMPLET,EU28_FOR,NR,F,IS	1853 	1257 	1238 	1359 
TOTAL,COMPLET,EU28_FOR,NR,F,IT	34029 	35596 	39564 	47581 
TOTAL,COMPLET,EU28_FOR,NR,F,LI	103 	130 	125 	158 
TOTAL,COMPLET,EU28_FOR,NR,F,LT	631 	791 	788 	763 
TOTAL,COMPLET,EU28_FOR,NR,F,LU	6336 	6413 	6601 	6121 
TOTAL,COMPLET,EU28_FOR,NR,F,LV	554 	584 	676 	636 
