CC5_13_FOR_X_IS,Y10-14,NR,T,HR	: 	: 	: 	97 	: 
CC5_13_FOR_X_IS,Y10-14,NR,T,HU	76 	77 	84 	96 	: 
CC5_13_FOR_X_IS,Y10-14,NR,T,IE	33 	: 	: 	87 	: 
CC5_13_FOR_X_IS,Y10-14,NR,T,IS	7 	4 	2 	6 	: 
CC5_13_FOR_X_IS,Y10-14,NR,T,IT	8313 	9134 	9904 	10617 	: 
CC5_13_FOR_X_IS,Y10-14,NR,T,LI	69 	83 	92 	113 	: 
CC5_13_FOR_X_IS,Y10-14,NR,T,LT	2 	1 	1 	0 	: 
CC5_13_FOR_X_IS,Y10-14,NR,T,LU	792 	: 	: 	815 	: 
CC5_13_FOR_X_IS,Y10-14,NR,T,LV	4 	3 	2 	1 	: 
CC5_13_FOR_X_IS,Y10-14,NR,T,NL	2906 	3194 	3508 	3952 	: 
CC5_13_FOR_X_IS,Y10-14,NR,T,NO	329 	289 	267 	241 	: 
CC5_13_FOR_X_IS,Y10-14,NR,T,PL	: 	: 	: 	0 p	: 
CC5_13_FOR_X_IS,Y10-14,NR,T,PT	13 	: 	: 	7 	: 
CC5_13_FOR_X_IS,Y10-14,NR,T,RO	260 	266 	: 	234 	: 
CC5_13_FOR_X_IS,Y10-14,NR,T,SE	1006 	1068 	1083 	1081 	: 
CC5_13_FOR_X_IS,Y10-14,NR,T,SI	818 	771 	776 	712 	: 
CC5_13_FOR_X_IS,Y10-14,NR,T,SK	27 	29 	31 	39 	: 
CC5_13_FOR_X_IS,Y15-19,NR,F,AT	7008 	7096 	7032 	7010 	: 
CC5_13_FOR_X_IS,Y15-19,NR,F,BE	986 	994 	1026 	1055 	: 
CC5_13_FOR_X_IS,Y15-19,NR,F,BG	50 	48 	49 	36 	: 
CC5_13_FOR_X_IS,Y15-19,NR,F,CH	5218 	5440 	5819 	6379 	: 
CC5_13_FOR_X_IS,Y15-19,NR,F,CY	: 	: 	: 	24 	: 
CC5_13_FOR_X_IS,Y15-19,NR,F,CZ	91 	75 	80 	82 	: 
CC5_13_FOR_X_IS,Y15-19,NR,F,DE	46745 	58948 	68856 	70102 	: 
CC5_13_FOR_X_IS,Y15-19,NR,F,DK	980 	1236 	1248 	1243 	: 
CC5_13_FOR_X_IS,Y15-19,NR,F,EE	1 	2 	0 	2 	: 
CC5_13_FOR_X_IS,Y15-19,NR,F,EL	: 	: 	: 	152 	: 
CC5_13_FOR_X_IS,Y15-19,NR,F,ES	: 	: 	130 	117 	: 
CC5_13_FOR_X_IS,Y15-19,NR,F,FI	113 	108 	107 	93 	: 
CC5_13_FOR_X_IS,Y15-19,NR,F,FR	: 	: 	: 	5253 	: 
CC5_13_FOR_X_IS,Y15-19,NR,F,HR	: 	: 	: 	65 	: 
CC5_13_FOR_X_IS,Y15-19,NR,F,HU	172 	182 	174 	160 	: 
CC5_13_FOR_X_IS,Y15-19,NR,F,IE	33 	: 	: 	44 	: 
CC5_13_FOR_X_IS,Y15-19,NR,F,IS	3 	3 	7 	6 	: 
CC5_13_FOR_X_IS,Y15-19,NR,F,IT	3790 	4215 	4442 	4862 	: 
CC5_13_FOR_X_IS,Y15-19,NR,F,LI	40 	54 	54 	60 	: 
CC5_13_FOR_X_IS,Y15-19,NR,F,LT	3 	0 	0 	0 	: 
CC5_13_FOR_X_IS,Y15-19,NR,F,LU	277 	: 	: 	299 	: 
CC5_13_FOR_X_IS,Y15-19,NR,F,LV	1 	1 	0 	0 	: 
CC5_13_FOR_X_IS,Y15-19,NR,F,NL	2085 	2197 	2345 	2485 	: 
CC5_13_FOR_X_IS,Y15-19,NR,F,NO	140 	128 	114 	103 	: 
CC5_13_FOR_X_IS,Y15-19,NR,F,PL	: 	: 	: 	16 p	: 
CC5_13_FOR_X_IS,Y15-19,NR,F,PT	7 	: 	: 	4 	: 
CC5_13_FOR_X_IS,Y15-19,NR,F,RO	158 	161 	: 	135 	: 
CC5_13_FOR_X_IS,Y15-19,NR,F,SE	514 	582 	583 	608 	: 
CC5_13_FOR_X_IS,Y15-19,NR,F,SI	384 	353 	355 	363 	: 
CC5_13_FOR_X_IS,Y15-19,NR,F,SK	16 	15 	19 	14 	: 
CC5_13_FOR_X_IS,Y15-19,NR,M,AT	7230 	7248 	7216 	7403 	: 
CC5_13_FOR_X_IS,Y15-19,NR,M,BE	1010 	1049 	1115 	1184 	: 
CC5_13_FOR_X_IS,Y15-19,NR,M,BG	68 	72 	74 	62 	: 
CC5_13_FOR_X_IS,Y15-19,NR,M,CH	5519 	5763 	6213 	6961 	: 
CC5_13_FOR_X_IS,Y15-19,NR,M,CY	: 	: 	: 	31 	: 
CC5_13_FOR_X_IS,Y15-19,NR,M,CZ	119 	121 	117 	115 	: 
CC5_13_FOR_X_IS,Y15-19,NR,M,DE	47560 	59914 	69991 	71589 	: 
CC5_13_FOR_X_IS,Y15-19,NR,M,DK	1145 	1355 	1359 	1339 	: 
CC5_13_FOR_X_IS,Y15-19,NR,M,EE	6 	3 	2 	1 	: 
CC5_13_FOR_X_IS,Y15-19,NR,M,EL	: 	: 	: 	149 	: 
CC5_13_FOR_X_IS,Y15-19,NR,M,ES	: 	: 	143 	146 	: 
CC5_13_FOR_X_IS,Y15-19,NR,M,FI	124 	122 	107 	105 	: 
CC5_13_FOR_X_IS,Y15-19,NR,M,FR	: 	: 	: 	5216 	: 
CC5_13_FOR_X_IS,Y15-19,NR,M,HR	: 	: 	: 	73 	: 
CC5_13_FOR_X_IS,Y15-19,NR,M,HU	183 	166 	165 	200 	: 
CC5_13_FOR_X_IS,Y15-19,NR,M,IE	18 	: 	: 	59 	: 
CC5_13_FOR_X_IS,Y15-19,NR,M,IS	1 	3 	2 	4 	: 
CC5_13_FOR_X_IS,Y15-19,NR,M,IT	4480 	5012 	5358 	5831 	: 
CC5_13_FOR_X_IS,Y15-19,NR,M,LI	54 	57 	55 	52 	: 
CC5_13_FOR_X_IS,Y15-19,NR,M,LT	0 	0 	0 	0 	: 
CC5_13_FOR_X_IS,Y15-19,NR,M,LU	321 	: 	: 	289 	: 
CC5_13_FOR_X_IS,Y15-19,NR,M,LV	1 	1 	1 	0 	: 
CC5_13_FOR_X_IS,Y15-19,NR,M,NL	2236 	2417 	2578 	2782 	: 
CC5_13_FOR_X_IS,Y15-19,NR,M,NO	122 	119 	126 	125 	: 
